source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,The #USSJohnFinn will provide essential capabilities to keep America safe. Our sailors are the best anywhere in the world. Congratulations! ,https://t.co/yTnMwSh1Kg,,69926,FALSE,8.86636E+17
Twitter for iPhone,"The ABC/Washington Post Poll, even though almost 40% is not bad at this time, was just about the most inaccurate poll around election time!",,,72783,FALSE,8.86589E+17
Twitter for iPhone,"With all of its phony unnamed sources &amp; highly slanted &amp; even fraudulent reporting, #Fake News is DISTORTING DEMOCRACY in our country!",,,96428,FALSE,8.86545E+17
Twitter for iPhone,Thank you to former campaign adviser Michael Caputo for saying so powerfully that there was no Russian collusion in our winning campaign.,,,92061,FALSE,8.86542E+17
Twitter for iPhone,"Thank you to all of the supporters, who far out-numbered the protesters, yesterday at the Women's U.S. Open. Very cool!",,,112717,FALSE,8.86539E+17
Twitter for iPhone,"HillaryClinton can illegally get the questions to the Debate &amp; delete 33,000 emails but my son Don is being scorned by the Fake News Media?",,,143851,FALSE,8.86535E+17
Twitter for iPhone,The women played great today at the @USGA #USWomensOpen???? I look forward to being there tomorrow for the final round! ,https://t.co/2oWyptgfIY,,46187,FALSE,8.86421E+17
Twitter for iPhone,"Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",,,66479,FALSE,8.86322E+17
Twitter for iPhone,MAKE AMERICA GREAT AGAIN! ,https://t.co/3eYF3nir4B,,65311,FALSE,8.86319E+17
Media Studio,Next week the Senate is going to vote on legislation to save Americans from the ObamaCare DISASTER. #WeeklyAddress???? ,https://t.co/xjVDkgo1NK,,60683,FALSE,8.86283E+17
Twitter for iPhone,Will be at the Women's U.S. Open today!,,,55281,FALSE,8.86262E+17
Twitter for iPhone,"Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",,,87173,FALSE,8.86262E+17
Twitter for iPhone,Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!,,,85526,FALSE,8.86259E+17
Twitter for iPhone,"I will be at the @USGA #USWomensOpen in Bedminster, NJ tomorrow. Big crowds expected &amp; the women are playing great-should be very exciting!",,,50762,FALSE,8.86058E+17
Twitter for iPhone,Honored to serve as Commander-in-Chief to the courageous men and women of our U.S. Armed Forces. A grateful nation thanks you! ,https://t.co/wERNV7J4oO,,112362,FALSE,8.86036E+17
Media Studio,"President @EmmanuelMacron,Thank you for inviting Melania and myself to such a historic celebration in France. #BastilleDay #14juillet ",https://t.co/KZjJQOo0H1,,79045,FALSE,8.85992E+17
Twitter for iPhone,"Just landed from Paris, France. It was an incredible visit with President @EmmanuelMacron. A lot discussed and accomplished in two days!",,,61382,FALSE,8.85988E+17
Twitter for iPhone,"Left Paris for U.S.A. Will be heading to New Jersey and attending the#USWomensOpen, their most important tournament, this afternoon.",,,58385,FALSE,8.85866E+17
Twitter for iPhone,"Great conversations with President @EmmanuelMacron and his representatives on trade, military and security.",,,51117,FALSE,8.85858E+17
Twitter for iPhone,"The United States mourns for the victims of Nice, France. We pledge our solidarity with France against terror. ???????? ",https://t.co/7irbz08oT3,,53025,FALSE,8.85856E+17
Twitter for iPhone,It was a great honor to represent the United States at the magnificent #BastilleDay parade. Congratulations President @EmmanuelMacron! ,https://t.co/1J4vZiy98y,,67582,FALSE,8.85817E+17
Twitter for iPhone,.@VP Mike Pence is working hard on HealthCare and getting our wonderful Republican Senators to do what is right for the people.,,,60424,FALSE,8.85773E+17
Twitter for iPhone,"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!",,,74543,FALSE,8.85773E+17
Twitter for iPhone,"So impt Rep Senators, under leadership of @SenateMajLdr McConnell get healthcare plan approved. After 7yrs of O'Care disaster, must happen!",,,50000,FALSE,8.85772E+17
Twitter for iPhone,"Republicans Senators are working hard to get their failed ObamaCare replacement approved. I will be at my desk, pen in hand!",,,70229,FALSE,8.8577E+17
Twitter for iPhone,Great evening with President @EmmanuelMacron &amp; Mrs. Macron. Went to Eiffel Tower for dinner. Relationship with France stronger than ever. ,https://t.co/ib1pdUYoEU,,45347,FALSE,8.8577E+17
Twitter for iPhone,Great bilateral meetings at Élysée Palace w/ President @EmmanuelMacron. The friendship between our two nations and ourselves is unbreakable. ,https://t.co/IOSoC0MdPv,,58829,FALSE,8.8558E+17
Twitter for iPhone,"President @EmmanuelMacron,Thank you for the beautiful welcome ceremony at Les Invalides today! ",https://t.co/RKir1GcRrB,,57924,FALSE,8.85571E+17
Twitter for iPhone,"Melania and I were thrilled to join the dedicated men and women of the @USEmbassyFrance, members of the U.S. Military and their families. ",https://t.co/ZSdsJ0Bsbl,,70714,FALSE,8.85482E+17
Twitter Web Client,"Just landed in Paris, France with @FLOTUS Melania. ",https://t.co/knULGOQF1K,,77588,FALSE,8.8541E+17
Twitter for iPhone,Big WIN today for building the wall. It will secure the border &amp; save lives. Now the full House &amp; Senate must act! ??,https://t.co/TTg7lvBdo2 ,https://t.co/xhiknXko70,70931,FALSE,8.85279E+17
Twitter for iPhone,"JOBS, JOBS, JOBS! #MAGA???? ",https://t.co/HScS4Y9ZJK,,81023,FALSE,8.85276E+17
Twitter for iPhone,Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA???? ,https://t.co/Vwxsb2vWGe,,65621,FALSE,8.85274E+17
Twitter for iPhone,Getting rdy to leave for France @ the invitation of President Macron to celebrate &amp; honor Bastille Day and 100yrs since U.S. entry into WWI.,,,82798,FALSE,8.85266E+17
Twitter for iPhone,"After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture. ",https://t.co/gDGgejqFMs,,69870,FALSE,8.85233E+17
Twitter for iPhone,"The W.H. is functioning perfectly, focused on HealthCare, Tax Cuts/Reform &amp; many other things. I have very little time for watching T.V.",,,99408,FALSE,8.85131E+17
Twitter for iPhone,Why aren't the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful!,,,104325,FALSE,8.85128E+17
Twitter for iPhone,".@WashTimes states ""Democrats have willfully used Moscow disinformation to influence the presidential election against Donald Trump.""",,,63060,FALSE,8.8511E+17
Twitter for iPhone,"ISIS is on the run &amp; will soon be wiped out of Syria &amp; Iraq, illegal border crossings are way down (75%) &amp; MS 13 gangs are being removed.",,,127630,FALSE,8.85093E+17
Twitter for iPhone,RT @foxandfriends: Getting the job done! Sen. Mitch McConnell delays August recess to work on health care bill ,https://t.co/wBjha8ldeK,,0,TRUE,8.85086E+17
Twitter for iPhone,"Remember, when you hear the words ""sources say"" from the Fake Media, often times those sources are made up and do not exist.",,,117629,FALSE,8.85085E+17
Twitter for iPhone,"My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad!",,,120675,FALSE,8.85081E+17
Twitter for iPhone,"RT @FoxNews: .@jessebwatters on @DonaldJTrumpJr meeting with Russian attorney: ""I believe Don Jr. is the victim here."" #TheFive ",https://t.c…,,0,TRUE,8.85075E+17
Twitter for iPhone,"My son, Donald, will be interviewed by @seanhannity tonight at 10:00 P.M. He is a great person who loves our country!",,,96284,FALSE,8.84931E+17
Twitter for iPhone,"RT @foxandfriends: FOX NEWS ALERT: U.S. flexes its defense muscles, destroys incoming test missile off coast of Alaska ",https://t.co/gdpnc6a…,,0,TRUE,8.84759E+17
Twitter for iPhone,Big wins against ISIS!,,,129612,FALSE,8.8475E+17
Twitter for iPhone,Marine Plane crash in Mississippi is heartbreaking. Melania and I send our deepest condolences to all!,,,121286,FALSE,8.84746E+17
Twitter for iPhone,Working hard to get the Olympics for the United States (L.A.). Stay tuned!,,,108873,FALSE,8.84741E+17
Twitter for iPhone,The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They  can't win so all they do is slow things down &amp; obstruct!,,,97500,FALSE,8.84729E+17
Twitter for iPhone,RT @foxandfriends: SEN. CRUZ: It's crazy to go an August recess without having Obamacare repealed. We should work every day until it is don…,,,0,TRUE,8.84726E+17
Twitter for iPhone,RT @foxandfriends: White House calls out Senate Democrats for obstructing nominees ,https://t.co/O6Rsx5i2CZ,,0,TRUE,8.84726E+17
Twitter for iPhone,RT @foxandfriends: Head of the NYPD union slams Mayor de Blasio for skipping vigil for assassinated cop Miosotis Familia ,https://t.co/nVWLb…,,0,TRUE,8.8438E+17
Twitter for iPhone,"RT @foxandfriends: .@jasoninthehouse: Comey went silent when I asked him about his memos, which raised a lot of eyebrows. ",https://t.co/BfSP…,,0,TRUE,8.8438E+17
Twitter for iPhone,"RT @seanhannity: HRC mishandles and destroys classified info-NO PROBLEM! Pay/play on Uranium one NO PROBLEM! Lynch BC tarmac: it's a ""matte…",,,0,TRUE,8.8438E+17
Twitter for iPhone,"If Chelsea Clinton were asked to hold the seat for her mother,as her mother gave our country away, the Fake News would say CHELSEA FOR PRES!",,,108995,FALSE,8.84379E+17
Twitter for iPhone,"When I left Conference Room for short meetings with Japan and other countries, I asked Ivanka to hold seat. Very standard. Angela M agrees!",,,88831,FALSE,8.84375E+17
Twitter for iPhone,I cannot imagine that Congress would dare to leave Washington without a beautiful new HealthCare bill fully approved and ready to go!,,,102395,FALSE,8.84363E+17
Twitter for iPhone,James Comey leaked CLASSIFIED INFORMATION to the media. That is so illegal!,,,112155,FALSE,8.84362E+17
Twitter for iPhone,RT @foxandfriends: Report accuses material James Comey leaked to a friend contained top secret information ,https://t.co/Hkg4cAb6o9,,0,TRUE,8.8436E+17
Twitter for iPhone,RT @foxandfriends: .@carriesheffield: The mainstream media is neglecting their duty to represent the public. They've failed to represent ha…,,,0,TRUE,8.8436E+17
Twitter for iPhone,RT @RealJamesWoods: Only now with a #RealPresident do we see the scope of destruction engineered by #Obama and the #Democrat cabal.  @realD…,,,0,TRUE,8.84359E+17
Twitter for iPhone,"The fact that President Putin and I discussed a Cyber Security unit  doesn't mean I think it can happen. It can't-but a ceasefire can,&amp; did!",,,91092,FALSE,8.84212E+17
Twitter for iPhone,Syrian ceasefire seems to be holding. Many lives can be saved. Came out of meeting. Good!,,,100274,FALSE,8.84143E+17
Twitter for iPhone,"For years, even as a ""civilian,"" I listened as Republicans pushed the Repeal and Replace of ObamaCare. Now they finally have their chance!",,,110727,FALSE,8.84142E+17
Media Studio,MAKE AMERICA GREAT AGAIN! ,https://t.co/NVDVRrWLs4,,98445,FALSE,8.84034E+17
Twitter for iPhone,Sanctions were not discussed at my meeting with President Putin. Nothing will be done until the Ukrainian &amp; Syrian problems are solved!,,,83119,FALSE,8.84027E+17
Twitter for iPhone,...have it. Fake News said 17 intel agencies when actually 4 (had to apologize). Why did Obama do NOTHING when he had info before election?,,,89030,FALSE,8.84021E+17
Twitter for iPhone,"...and safe. Questions were asked about why the CIA &amp; FBI had to ask the DNC 13 times for their SERVER, and were rejected, still don't....",,,78813,FALSE,8.84019E+17
Twitter for iPhone,"Putin &amp; I discussed forming an impenetrable Cyber Security unit    so that election hacking, &amp; many other negative things, will be guarded..",,,83092,FALSE,8.84017E+17
Twitter for iPhone,...We negotiated a ceasefire in parts of Syria which will save lives. Now it is time to move forward in working constructively with Russia!,,,98082,FALSE,8.84014E+17
Twitter for iPhone,I strongly pressed President Putin twice about Russian meddling in our election. He vehemently denied it. I've already given my opinion.....,,,83868,FALSE,8.84012E+17
Twitter for iPhone,The G 20 Summit was a great success for the U.S. - Explained that the U.S. must fix the many bad trade deals it has made. Will get done!,,,81459,FALSE,8.84008E+17
Twitter for iPhone,"Thank you @SenatorDole, very kind! ",https://t.co/cXrYiK46Qq,,87832,FALSE,8.83845E+17
Twitter for iPhone,"Leaving Hamburg for Washington, D.C. and the WH. Just left China’s President Xi where we had an excellent meeting on trade &amp; North Korea.",,,98393,FALSE,8.83761E+17
Twitter for iPhone,Law enforcement &amp; military did a spectacular job in Hamburg. Everybody felt totally safe despite the anarchists. @PolizeiHamburg #G20Summit,,,93205,FALSE,8.8376E+17
Twitter for iPhone,The #G20Summit was a wonderful success and carried out beautifully by Chancellor Angela Merkel. Thank you!,,,86036,FALSE,8.83753E+17
Twitter for iPhone,We will fight the #FakeNews with you! ,https://t.co/zOMiXTeLJq,,99318,FALSE,8.83752E+17
Twitter for iPhone,"Great first day with world leaders at the #G20Summit here in Hamburg, Germany. Looking forward to day two! #USA ",https://t.co/bLKgZKQemw,,84512,FALSE,8.83469E+17
Twitter for iPhone,Thank you! “Trump’s Defining Speech” WSJ Editorial: ,https://t.co/YuDgVfRroR ,https://t.co/T0R4u4IHDJ,68592,FALSE,8.83445E+17
Twitter for iPhone,I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA!,,,136965,FALSE,8.8323E+17
Twitter for iPhone,"I look forward to all meetings today with world leaders, including my meeting with Vladimir Putin. Much to discuss.#G20Summit #USA????",,,96810,FALSE,8.8323E+17
Twitter for iPhone,Everyone here is talking about why John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful!,,,119041,FALSE,8.83229E+17
Twitter for iPhone,After Poland had a great meeting with Chancellor Merkel and then with PM Shinz? Abe of Japan &amp; President Moon of South Korea.,,,76189,FALSE,8.83221E+17
Twitter for iPhone,"My experience yesterday in Poland was a great one. Thank you to everyone, including the haters, for the great reviews of the speech!",,,129353,FALSE,8.83219E+17
Twitter Web Client,"A strong Poland is a blessing to the nations of Europe, and a strong Europe is a blessing to the West, and to the world. ",https://t.co/vHzPwMtJSm,,117598,FALSE,8.83064E+17
Media Studio,THE WEST WILL NEVER BE BROKEN. Our values will PREVAIL. Our people will THRIVE and our civilization will TRIUMPH! ,https://t.co/sozuVgdp5T,,134381,FALSE,8.83013E+17
Media Studio,America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and extremism. #POTUSinPoland ,https://t.co/MHxRmVvtsh,,91612,FALSE,8.82993E+17
Twitter for iPhone,"On behalf of @FLOTUS Melania and myself, thank you Poland!????????#ICYMI, watch here?? ",https://t.co/COpVXnn8YG,https://t.co/ylU3wLZV2H,86331,FALSE,8.82963E+17
Twitter for iPhone,Congratulations to the dedicated professionals of the USSS as they celebrate their 152nd anniversary. Thank you! ??,https://t.co/mDhFzDm3ED ,https://t.co/BcB3wLjILg,76182,FALSE,8.82742E+17
Twitter for iPhone,Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,,,102191,FALSE,8.8256E+17
Twitter for iPhone,The United States made some of the worst Trade Deals in world history.Why should we continue these deals with countries that do not help us?,,,129296,FALSE,8.82558E+17
Twitter for iPhone,"Getting ready to leave for Poland, after which I will travel to Germany for the G-20. Will be back on Saturday.",,,95884,FALSE,8.82553E+17
Twitter for iPhone,#HappyIndependenceDay #USA???? ,https://t.co/9pfqnRsh1Z,,205493,FALSE,8.82424E+17
Twitter for iPhone,Gas prices are the lowest in the U.S. in over ten years! I would like to see them go even lower.,,,162421,FALSE,8.82327E+17
Twitter for iPhone,Getting ready to celebrate the 4th of July with a big crowd at the White House. Happy 4th to everyone. Our country will grow and prosper!,,,138501,FALSE,8.82325E+17
Twitter for iPhone,#HappyIndependenceDay #July4 #USA???? ,https://t.co/NsFslPEFrp,,116835,FALSE,8.82187E+17
Twitter for iPhone,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,,,116328,FALSE,8.82063E+17
Twitter for iPhone,North Korea has just launched another missile. Does this guy have anything better to do with his life? Hard to believe that South Korea.....,,,148904,FALSE,8.82061E+17
Twitter for iPhone,"RT @JacobAWohl: @realDonaldTrump When Obama was President, the #MSM LOVED talking about stock market rallies! Now they barely mention new a…",,,0,TRUE,8.8205E+17
Twitter for iPhone,Dow hit a new intraday all-time high! I wonder whether or not the Fake News Media will so report?,,,113935,FALSE,8.81983E+17
Twitter for iPhone,"Really great numbers on jobs &amp; the economy! Things are starting to kick in now, and we have just begun! Don't like steel &amp; aluminum dumping!",,,96173,FALSE,8.81979E+17
Twitter for iPhone,Thank you to Shawn Steel for the nice words on @FoxNews.,,,61582,FALSE,8.81977E+17
Twitter for iPhone,"RT @Reince: With a strong candidate in @POTUS &amp; @GOP revolutionary data program, Republicans carried WI for 1st time in 30 years",https://t.…,,0,TRUE,8.8196E+17
Twitter for iPhone,"If we can help little #CharlieGard, as per our friends in the U.K. and the Pope, we would be delighted to do so.",,,123341,FALSE,8.81875E+17
Twitter for iPhone,"At some point the Fake News will be forced to discuss our great jobs numbers, strong economy, success with ISIS, the border &amp; so much else!",,,131610,FALSE,8.81848E+17
Twitter for iPhone,Will be speaking with Italy this morning!,,,72540,FALSE,8.8184E+17
Twitter for iPhone,Spoke yesterday with the King of Saudi Arabia about peace in the Middle-East. Interesting things are happening!,,,85961,FALSE,8.81835E+17
Twitter for iPhone,Will be speaking with Germany and France this morning.,,,69696,FALSE,8.8183E+17
Media Studio,"America's men &amp; women in uniform is the story of FREEDOM overcoming OPPRESSION, the STRONG protecting the WEAK, &amp; G… ",https://t.co/LtTpGsP3fC,,104824,FALSE,8.81697E+17
Twitter for iPhone,"Stock Market at all time high, unemployment at lowest level in years (wages will start going up) and our base has never been stronger!",,,136448,FALSE,8.81663E+17
Media Studio,The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE!… ,https://t.co/EwnwCeuGMv,,111220,FALSE,8.81604E+17
Twitter for iPhone,#FraudNewsCNN #FNN ,https://t.co/WYUnHjjUjg,,605098,FALSE,8.81503E+17
Twitter for iPhone,"We will always take care of our GREAT VETERANS. You have shed your blood, poured your love, and bared your soul, in… ",https://t.co/bTPuerxLOr,,129665,FALSE,8.81374E+17
Twitter for iPhone,My use of social media is not Presidential - it’s MODERN DAY PRESIDENTIAL. Make America Great Again!,,,199049,FALSE,8.81282E+17
Twitter for iPhone,I am thinking about changing the name #FakeNews CNN to #FraudNewsCNN!,,,121832,FALSE,8.81273E+17
Twitter for iPhone,"....the 2016 election with interviews, speeches and social media. I had to beat #FakeNews, and did. We will continue to WIN!",,,89370,FALSE,8.81272E+17
Twitter for iPhone,"The FAKE &amp; FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media - but remember, I won....",,,129842,FALSE,8.81272E+17
Twitter for iPhone,Getting rdy to leave for tonight's Celebrate Freedom Concert honoring our GREAT VETERANS w/ so many of my evangelic… ,https://t.co/shfTAoMJry,,62718,FALSE,8.81266E+17
Media Studio,Weekly Address???? #KatesLaw#NoSanctuaryForCriminalsActStatement: ,https://t.co/I8cqKGDK2B ,https://t.co/00mao6Vk7R,50441,FALSE,8.81256E+17
Twitter for iPhone,"Crazy Joe Scarborough and dumb as a rock Mika are not bad people, but their low rated show is dominated by their NBC bosses. Too bad!",,,101893,FALSE,8.8114E+17
Twitter for iPhone,I am extremely pleased to see that @CNN has finally been exposed as #FakeNews and garbage journalism. It's about time!,,,151428,FALSE,8.81138E+17
Twitter for iPhone,Numerous states are refusing to give information to the very distinguished VOTER FRAUD PANEL. What are they trying to hide?,,,110887,FALSE,8.81137E+17
Twitter for iPhone,Word is that @Greta Van Susteren was let go by her out of control bosses at @NBC &amp; @Comcast because she refused to go along w/ 'Trump hate!',,,80092,FALSE,8.81135E+17
Twitter for iPhone,Happy Canada Day to all of the great people of Canada and to your Prime Minister and my new found friend @JustinTrudeau. #Canada150,,,78780,FALSE,8.81131E+17
